sample temp (C),Carrier Concentration (cm^-3)
27.45,6.82498E+19
31.2,6.84697E+19
35.65,6.80529E+19
39.2,6.81534E+19
42.45,6.87095E+19
46.8,6.81819E+19
52.05,6.79821E+19
57.85,6.80318E+19
64.25,6.82761E+19
70.9,6.80109E+19
77.8,6.90541E+19
84.85,6.91577E+19
92.1,6.84442E+19
99.45,6.88495E+19
106.8,6.84373E+19
114,6.94564E+19
121.4,6.84452E+19
128.8,6.8872E+19
136.2,6.8777E+19
143.5,6.93066E+19
150.7,6.89546E+19
157.85,6.89146E+19
164.9,6.90366E+19
172.05,6.89716E+19
178.95,6.98539E+19
185.8,6.96288E+19
192.6,6.97496E+19
199.4,6.96422E+19
206.05,6.9561E+19
212.8,7.03408E+19
219.4,7.25856E+19
226,7.05865E+19
232.55,6.94962E+19
238.85,6.9343E+19
245.2,7.0357E+19
251.55,7.02694E+19
257.85,7.07473E+19
264.05,7.3878E+19
270.35,7.12278E+19
276.65,7.21237E+19
282.85,7.15059E+19
288.8,7.45125E+19
294.8,7.48253E+19
300.75,6.7233E+19
306.65,6.88354E+19
312.6,7.07619E+19
318.4,7.13649E+19
324.25,7.23902E+19
329.85,7.65212E+19
335.5,7.20503E+19
341.2,7.11202E+19
346.65,7.17613E+19
352.05,7.27885E+19
357.25,7.24551E+19
362.5,7.13214E+19
367.7,7.66441E+19
372.9,7.34109E+19
378.05,7.31063E+19
382.95,7.23439E+19
387.75,7.2255E+19
392.45,7.41725E+19
396.9,7.2766E+19
401.35,7.24047E+19
405.75,7.68597E+19
410.15,7.28036E+19
414.7,7.33157E+19
419.15,7.37269E+19
423.55,7.36951E+19
427.85,7.37497E+19
433.25,7.37125E+19
441.3,7.27742E+19
449.3,7.44204E+19
456.2,7.50099E+19
461.95,8.1869E+19
466.85,7.63305E+19
471.2,8.00511E+19
475.2,7.95635E+19
479,7.5061E+19
482.6,8.2844E+19
486.15,7.73668E+19
490.2,7.4785E+19
494.15,7.42561E+19
497.15,7.53998E+19
499.25,8.19277E+19
500.5,8.06968E+19
500.85,8.21694E+19
501.4,7.11304E+19
502.15,8.14828E+19
502.45,7.57129E+19
502.65,7.5458E+19
502.9,7.35488E+19
502.55,8.19158E+19
501.25,8.36832E+19
499.3,7.18078E+19
496.7,7.68693E+19
493.7,8.20484E+19
490.45,8.15512E+19
487,8.11466E+19
483.35,8.15597E+19
479.6,7.43818E+19
475.65,7.5574E+19
471.95,8.06765E+19
468.2,7.55373E+19
464.1,7.55856E+19
459.75,7.95718E+19
455.45,8.04236E+19
451.1,8.28115E+19
446.65,7.24359E+19
442.05,7.31997E+19
437.3,7.6209E+19
432.55,7.61207E+19
427.85,8.03853E+19
423.25,7.68315E+19
418.5,8.01379E+19
413.65,8.09465E+19
408.65,7.38659E+19
403.4,7.30122E+19
398.25,7.82927E+19
393.05,7.95775E+19
387.75,7.5913E+19
382.15,7.34173E+19
375.75,7.41008E+19
369.95,7.48304E+19
364.55,7.24141E+19
358.85,7.33557E+19
353.35,7.26358E+19
347.7,7.54567E+19
341.95,7.27047E+19
336.2,7.30699E+19
330.3,7.20191E+19
324.1,7.48008E+19
317.65,7.58453E+19
311.35,7.58864E+19
305,7.74766E+19
298.75,7.74585E+19
292.35,7.76979E+19
285.95,7.14191E+19
279.15,7.13255E+19
270.75,7.60504E+19
262.15,7.62052E+19
255.15,7.40537E+19
248.75,7.49951E+19
242.55,7.49046E+19
236.35,7.42902E+19
229.95,7.45609E+19
223.45,7.37393E+19
216.8,6.92189E+19
210.05,7.08319E+19
203.35,7.17599E+19
196.55,6.99007E+19
189.65,7.28951E+19
182.65,7.22356E+19
175.7,7.18728E+19
168.7,7.15873E+19
161.6,7.1543E+19
154.45,7.25442E+19
147.1,7.16826E+19
139.75,7.11418E+19
132.35,6.85932E+19
124.75,7.1041E+19
117.25,7.01847E+19
109.75,6.89191E+19
102.2,6.89581E+19
94.8,6.82301E+19
87.75,7.20395E+19
81.35,6.81177E+19
75.55,6.98929E+19
70.3,7.05718E+19
65.6,6.87074E+19
61.5,6.90837E+19
57.85,6.9511E+19
54.6,6.88497E+19
51.7,6.80406E+19
49.2,6.86187E+19
46.9,6.93202E+19
44.9,6.85085E+19
43.05,6.90811E+19
41.5,6.87952E+19
40.15,6.87873E+19
38.8,6.91726E+19
37.6,6.87398E+19
36.55,6.78719E+19
35.6,6.9353E+19
34.7,6.94393E+19
34,6.93963E+19