sample temp (C),resistivity (mOhm*cm),Hall Coefficient (cm^3/C),Carrier Concentration (10^18 cm^-3),Mobility (cm^2/Vs)
27.45,2.073846,0.091575,68.249773,44.183816
31.2,2.079509,0.091281,68.469711,43.955419
35.65,2.088442,0.09184,68.052904,44.069765
39.2,2.098281,0.091705,68.153351,43.807505
42.45,2.108287,0.090963,68.709546,43.247893
46.8,2.119611,0.091667,68.181909,43.362701
52.05,2.133151,0.091936,67.982091,43.235892
57.85,2.148708,0.091869,68.031828,42.910698
64.25,2.165916,0.09154,68.276072,42.432498
70.9,2.184927,0.091897,68.010923,42.243313
77.8,2.204885,0.090509,69.054081,41.235835
84.85,2.225634,0.090373,69.157745,40.79572
92.1,2.246918,0.091315,68.444219,40.833616
99.45,2.26958,0.090778,68.849482,40.198283
106.8,2.29201,0.091324,68.437306,40.040624
114,2.314974,0.089984,69.456434,39.064374
121.4,2.338259,0.091314,68.445197,39.247529
128.8,2.361691,0.090748,68.871983,38.616618
136.2,2.38484,0.090873,68.777042,38.290424
143.5,2.409059,0.090179,69.3066,37.622405
150.7,2.43297,0.090639,68.95455,37.438609
157.85,2.457178,0.090692,68.914609,37.091692
164.9,2.480999,0.090532,69.036637,36.666011
172.05,2.504975,0.090617,68.971608,36.348763
178.95,2.528552,0.089473,69.853857,35.550624
185.8,2.552521,0.089762,69.628818,35.331782
192.6,2.576142,0.089606,69.749592,34.943321
199.4,2.599709,0.089744,69.642153,34.678163
206.05,2.623841,0.089849,69.561031,34.401567
212.8,2.647464,0.088853,70.340825,33.711989
219.4,2.671443,0.086105,72.585627,32.377031
226,2.694673,0.088544,70.586507,33.001091
232.55,2.718458,0.089933,69.496164,33.227727
238.85,2.741814,0.090132,69.342959,33.013635
245.2,2.765238,0.088833,70.356989,32.261429
251.55,2.788664,0.088943,70.269371,32.029175
257.85,2.812184,0.088343,70.747272,31.546163
264.05,2.836203,0.084599,73.878021,29.955072
270.35,2.859324,0.087747,71.227831,30.81246
276.65,2.8825,0.086657,72.123662,30.184386
282.85,2.906211,0.087405,71.505924,30.198555
288.8,2.929743,0.083879,74.512456,28.745462
294.8,2.953051,0.083528,74.825315,28.397348
300.75,2.975103,0.09296,67.233036,31.362292
306.65,2.998865,0.090796,68.835393,30.397324
312.6,3.022333,0.088324,70.761911,29.337803
318.4,3.044491,0.087578,71.364938,28.871127
324.25,3.067691,0.086338,72.390198,28.25101
329.85,3.091719,0.081677,76.521181,26.520962
335.5,3.113848,0.086745,72.050265,27.957156
341.2,3.136716,0.087879,71.120213,28.118863
346.65,3.159004,0.087094,71.761269,27.667791
352.05,3.181581,0.085865,72.788462,27.084333
357.25,3.201787,0.08626,72.45511,27.026585
362.5,3.223463,0.087632,71.321351,27.277242
367.7,3.245436,0.081546,76.644078,25.211637
372.9,3.268442,0.085137,73.410929,26.140245
378.05,3.287489,0.085492,73.106252,26.080812
382.95,3.306815,0.086393,72.34388,26.202288
387.75,3.326468,0.086499,72.255036,26.080346
392.45,3.345675,0.084263,74.17247,25.258175
396.9,3.366374,0.085892,72.765991,25.593308
401.35,3.38382,0.08632,72.4047,25.575666
405.75,3.40358,0.081317,76.859663,23.961173
410.15,3.421926,0.085847,72.80355,25.154902
414.7,3.439676,0.085248,73.315738,24.847765
419.15,3.460118,0.084772,73.726871,24.572431
423.55,3.477584,0.084809,73.695052,24.448716
427.85,3.496322,0.084746,73.74967,24.30378
433.25,3.520852,0.084789,73.712488,24.166105
441.3,3.554024,0.085882,72.774196,24.278048
449.3,3.58777,0.083982,74.420363,23.518572
456.2,3.617148,0.083322,75.009887,23.1293
461.95,3.642328,0.076341,81.869027,21.03222
466.85,3.664721,0.081881,76.330457,22.41146
471.2,3.684586,0.078075,80.051092,21.246939
475.2,3.703048,0.078554,79.563453,21.266255
479,3.720699,0.083266,75.061025,22.432226
482.6,3.734188,0.075443,82.844001,20.239878
486.15,3.751338,0.080784,77.366782,21.584062
490.2,3.774674,0.083573,74.785036,22.209072
494.15,3.789523,0.084168,74.256078,22.254364
497.15,3.802081,0.082891,75.399833,21.837661
499.25,3.811087,0.076287,81.927687,20.040746
500.5,3.815585,0.07745,80.696814,20.310403
500.85,3.819115,0.076062,82.16944,19.92543
501.4,3.822922,0.087867,71.130388,22.995649
502.15,3.825648,0.076703,81.482776,20.056907
502.45,3.826584,0.082549,75.712913,21.575056
502.65,3.82651,0.082828,75.457966,21.645511
502.9,3.828209,0.084978,73.548803,22.202666
502.55,3.826308,0.076298,81.91578,19.935386
501.25,3.818259,0.074686,83.683198,19.539745
499.3,3.809125,0.087038,71.807794,22.82248
496.7,3.799906,0.081307,76.869251,21.371156
493.7,3.785623,0.076175,82.048385,20.084179
490.45,3.77315,0.076639,81.551241,20.27814
487,3.75611,0.077021,81.146643,20.45913
483.35,3.740009,0.076631,81.559746,20.445498
479.6,3.725817,0.084026,74.381793,22.509484
475.65,3.70668,0.0827,75.573964,22.253744
471.95,3.692596,0.07747,80.676544,20.939846
468.2,3.673043,0.082741,75.537334,22.466629
464.1,3.656906,0.082688,75.585618,22.5616
459.75,3.638002,0.078545,79.57177,21.534321
455.45,3.618337,0.077714,80.423596,21.419484
451.1,3.593621,0.075473,82.811477,20.92986
446.65,3.583798,0.086283,72.435933,24.042943
442.05,3.563075,0.085383,73.199714,23.893762
437.3,3.540739,0.082011,76.208993,23.089375
432.55,3.524139,0.082106,76.120728,23.243548
427.85,3.502958,0.077751,80.385295,22.128779
423.25,3.482722,0.081347,76.831496,23.2896
418.5,3.462617,0.077991,80.137926,22.458381
413.65,3.443744,0.077211,80.94651,22.359525
408.65,3.418814,0.084613,73.865893,24.659258
403.4,3.402655,0.085602,73.012232,25.097846
398.25,3.379738,0.079829,78.292652,23.539978
393.05,3.358825,0.07854,79.57754,23.310533
387.75,3.337311,0.082331,75.913023,24.590618
382.15,3.315284,0.08513,73.417328,25.59295
375.75,3.292436,0.084345,74.100764,25.529112
369.95,3.265768,0.083522,74.830411,25.471056
364.55,3.246862,0.086309,72.414116,26.505156
358.85,3.223569,0.085201,73.355702,26.335583
353.35,3.202912,0.086046,72.635797,26.778492
347.7,3.181288,0.082829,75.456682,25.948117
341.95,3.157932,0.085964,72.704682,27.121383
336.2,3.137121,0.085535,73.069923,27.175154
330.3,3.11493,0.086783,72.019057,27.76132
324.1,3.090149,0.083555,74.800804,26.931247
317.65,3.067978,0.082405,75.845335,26.762857
311.35,3.043658,0.08236,75.886421,26.951843
305,3.019969,0.080669,77.476623,26.607671
298.75,2.996409,0.080688,77.458542,26.822891
292.35,2.97264,0.08044,77.697871,26.952294
285.95,2.949708,0.087512,71.4191,29.553008
279.15,2.926302,0.087626,71.325504,29.825151
270.75,2.902491,0.082182,76.050379,28.19876
262.15,2.876999,0.082015,76.205249,28.381517
255.15,2.853076,0.084398,74.053666,29.457993
248.75,2.833023,0.083339,74.99514,29.31315
242.55,2.80763,0.083439,74.904634,29.585027
236.35,2.784288,0.084129,74.290242,30.089674
229.95,2.760661,0.083824,74.560883,30.234408
223.45,2.737172,0.084758,73.739331,30.833252
216.8,2.714495,0.090293,69.218862,33.125032
210.05,2.691162,0.088237,70.831864,32.64622
203.35,2.667826,0.087096,71.759892,32.504648
196.55,2.644622,0.089413,69.900663,33.661542
189.65,2.620889,0.08574,72.895069,32.566515
182.65,2.597837,0.086522,72.235645,33.158428
175.7,2.574069,0.086959,71.872765,33.627534
168.7,2.550057,0.087306,71.587333,34.076421
161.6,2.526925,0.08736,71.543028,34.41415
154.45,2.503078,0.086154,72.544225,34.256184
147.1,2.480004,0.08719,71.682576,34.994392
139.75,2.457074,0.087853,71.141809,35.588945
132.35,2.431426,0.091117,68.593193,37.278062
124.75,2.405013,0.087977,71.041021,36.38104
117.25,2.381746,0.089051,70.184706,37.20711
109.75,2.362493,0.090686,68.91912,38.229946
102.2,2.337076,0.090635,68.958068,38.571535
94.8,2.314767,0.091602,68.230086,39.383028
87.75,2.292776,0.086758,72.039459,37.659121
81.35,2.272172,0.091753,68.117725,40.198885
75.55,2.253173,0.089422,69.892944,39.52073
70.3,2.235836,0.088562,70.571804,39.457387
65.6,2.219796,0.090965,68.707411,40.831668
61.5,2.205667,0.09047,69.083726,40.886085
57.85,2.193438,0.089914,69.510984,40.878246
54.6,2.18253,0.090777,68.849706,41.489077
51.7,2.172292,0.091857,68.040632,42.186286
49.2,2.162498,0.091083,68.618746,42.024172
46.9,2.154349,0.090161,69.320174,41.77185
44.9,2.146278,0.09123,68.508528,42.426148
43.05,2.140116,0.090473,69.081053,42.214234
41.5,2.134308,0.090849,68.795218,42.508337
40.15,2.128687,0.09086,68.787256,42.627237
38.8,2.123867,0.090354,69.17258,42.493863
37.6,2.119481,0.090923,68.739826,42.854156
36.55,2.11546,0.092085,67.87187,43.488336
35.6,2.112162,0.090119,69.352953,42.633295
34.7,2.109078,0.090007,69.439319,42.644646
34,2.10653,0.090062,69.396268,42.728111
33.3,2.103937,0.092655,67.454369,44.011862
32.8,2.102232,0.090343,69.180717,42.957431
32.25,2.100663,0.092246,67.753312,43.896611
31.95,2.098887,0.090363,69.165713,43.03447
31.6,2.097796,0.090497,69.062979,43.127931
31.3,2.097077,0.090178,69.307058,42.994584
31.1,2.096766,0.090818,68.818614,43.310367
30.95,2.095977,0.090867,68.781543,43.345082
30.85,2.095696,0.091383,68.393117,43.602379
30.8,2.095062,0.092684,67.433234,44.23269
30.8,2.095041,0.09207,67.883256,43.946327
30.9,2.095137,0.090863,68.785217,43.369297
30.9,2.095215,0.092575,67.51281,44.184846
31.15,2.095642,0.0915,68.30611,43.666426
31.6,2.096377,0.090723,68.890907,43.283746
32.05,2.097506,0.090849,68.795804,43.324316
32.5,2.098119,0.09232,67.699453,44.007652
32.85,2.099796,0.091039,68.651695,43.373568
33.15,2.100513,0.091206,68.525907,43.428414
33.35,2.101997,0.091155,68.564346,43.381334
33.45,2.102548,0.091186,68.541546,43.374758
33.55,2.103402,0.091318,68.44229,43.42315
33.6,2.103422,0.091297,68.457928,43.404212
33.7,2.103864,0.092873,67.29608,44.148729
33.8,2.104504,0.092947,67.242714,44.172412
33.8,2.104686,0.091133,68.58145,43.301686
33.8,2.104874,0.092689,67.430118,44.037163
33.85,2.105046,0.091143,68.573565,43.299159
33.9,2.105392,0.092825,67.330942,44.092836
33.9,2.105433,0.092904,67.273499,44.126421
33.9,2.105551,0.091385,68.391881,43.403203
33.9,2.105668,0.092815,67.338509,44.079698
33.9,2.105754,0.092927,67.257445,44.130709
33.9,2.105485,0.091496,68.30908,43.453196
33.9,2.105177,0.091415,68.369689,43.420618
33.9,2.105927,0.091616,68.21982,43.511442
33.9,2.105632,0.093103,67.129866,44.213144
33.85,2.105598,0.091656,68.189896,43.529242
33.9,2.105848,0.091531,68.283179,43.467543
33.95,2.10562,0.09141,68.373252,43.410053
33.95,2.105816,0.091654,68.190973,43.526418
34,2.105718,0.091615,68.22015,43.506788
34,2.105634,0.091554,68.265635,43.47968
33.95,2.10577,0.092975,67.222664,44.15373
33.9,2.106077,0.092038,67.907076,43.704127
33.95,2.10616,0.091622,68.215175,43.502705
33.95,2.105861,0.091585,68.242697,43.487388
34,2.105998,0.093048,67.169541,44.183874
33.9,2.106427,0.093455,66.876961,44.371208
33.95,2.106525,0.091757,68.114343,43.559703
34,2.106426,0.091954,67.968607,43.65312
34,2.106116,0.092023,67.917721,43.690063
33.9,2.106547,0.093412,66.907607,44.348383
33.85,2.106304,0.091168,68.55495,43.280788
33.85,2.106203,0.091279,68.471167,43.337284
33.85,2.106215,0.093299,66.988842,44.297181
33.85,2.106596,0.092911,67.268901,44.108641
33.85,2.106412,0.093044,67.172269,44.17003
33.85,2.106501,0.093175,67.078257,44.23294
33.9,2.106733,0.093592,66.778984,44.427784
33.9,2.106754,0.091578,68.247788,43.469014
33.9,2.106625,0.092027,67.914706,43.683322
33.85,2.106865,0.093237,67.033608,44.256333
33.9,2.107243,0.091536,68.278927,43.442791
33.9,2.107227,0.092964,67.230402,44.116536
33.95,2.10684,0.090956,68.714716,43.167698
33.95,2.107133,0.092786,67.359207,44.037363
34,2.106988,0.091083,68.618924,43.227396
34,2.107047,0.093068,67.155136,44.170535
34,2.107369,0.091211,68.522507,43.285199
33.95,2.107575,0.091241,68.499711,43.294183
34,2.107301,0.093191,67.066873,44.219848
34,2.1076,0.093235,67.034696,44.240803
34,2.107739,0.093224,67.042553,44.231021
34,2.107686,0.093272,67.008301,44.252727
34,2.107664,0.093099,67.132961,44.171336
34,2.107631,0.093296,66.990917,44.265571
34,2.10812,0.093074,67.150803,44.155404
34,2.107675,0.091623,68.214301,43.466544
34,2.107702,0.093438,66.889062,44.332119
34,2.107678,0.091788,68.091845,43.549005
34,2.107771,0.091711,68.148799,43.511892
34,2.107258,0.093203,67.05781,44.224205
34,2.107822,0.091527,68.286167,43.428164
34,2.107578,0.091391,68.387539,43.360497
34,2.107979,0.093156,67.091643,44.196366
34,2.107683,0.091066,68.631329,43.203782
34,2.107691,0.093418,66.903268,44.322734
34,2.107644,0.093656,66.733911,44.435629
34,2.107519,0.093383,66.928707,44.308105
34,2.107846,0.092017,67.922025,43.658034
34,2.1077,0.093763,66.657681,44.484222
34,2.107864,0.093989,66.497445,44.591227
34,2.1081,0.092526,67.548344,43.89332
34,2.107582,0.092786,67.359588,44.019261
34,2.107776,0.094906,65.854937,45.028479
34,2.107703,0.09245,67.60428,43.862054
34,2.107562,0.095038,65.762949,45.092459
34,2.107461,0.092517,67.55522,43.898657
34,2.107587,0.092594,67.498829,43.935064
34,2.107702,0.094113,66.409831,44.652959
34.05,2.108006,0.094728,65.978199,44.940615
34,2.108343,0.095246,65.619691,45.179279
34,2.108169,0.092687,67.431348,43.963767
34,2.108308,0.092281,67.727979,43.77158
33.95,2.108714,0.093072,67.152162,44.141207
34,2.108513,0.091539,68.276581,43.412149
34.1,2.108765,0.093467,66.868328,44.325876
34,2.108707,0.093007,67.198971,44.105744
33.95,2.108672,0.093748,66.667769,44.458152
33.95,2.109251,0.094671,66.018032,44.889915
33.95,2.109228,0.094077,66.434747,44.602464
33.9,2.109488,0.09317,67.081787,44.169763
33.9,2.109718,0.094001,66.488982,44.558397
33.9,2.109016,0.092084,67.872913,43.654741
33.95,2.109493,0.095274,65.600194,45.169567
33.95,2.109376,0.093793,66.635882,44.46372
33.9,2.109462,0.094236,66.322817,44.67393
33.95,2.109551,0.095322,65.567315,45.186812
33.9,2.108969,0.09783,63.886216,46.381277
33.9,2.109016,0.097483,64.113649,46.222607
33.9,2.109221,0.098123,63.695299,46.523415
33.9,2.108754,0.097262,64.259172,46.118046
33.9,2.109238,0.095264,65.60706,45.170375
33.9,2.109691,0.094532,66.114861,44.813479
33.9,2.110185,0.09349,66.851749,44.309573
33.9,2.109157,0.096214,64.959373,45.606163
33.9,2.10977,0.09519,65.658262,45.125146
33.9,2.109678,0.095843,65.211086,45.428969
33.9,2.109837,0.095389,65.521112,45.213302
33.9,2.110399,0.096367,64.856057,45.669131
33.9,2.109615,0.098682,63.334559,46.768702
33.95,2.109864,0.095541,65.416686,45.285864
33.95,2.110033,0.098043,63.7473,46.46719
33.9,2.111021,0.097954,63.805501,46.412079
33.9,2.111992,0.094144,66.387894,44.586025
33.9,2.113554,0.094065,66.443748,44.521833
34,2.112849,0.097486,64.112045,46.131698
33.95,2.112228,0.094718,65.985154,44.836241
33.95,2.113524,0.099692,62.693284,47.182939
33.95,2.113384,0.098316,63.570686,46.518995
34,2.115389,0.09401,66.482374,44.462016
34,2.115128,0.101384,61.64692,47.92975
34,2.115036,0.098035,63.752592,46.350557
34,2.114527,0.096565,64.723428,45.661802
34,2.115132,0.098179,63.65893,46.424297
34,2.114143,0.097486,64.111535,46.100744
34,2.117114,0.097723,63.956211,46.191061
34,2.115725,0.090628,68.963541,42.821187
34,2.115432,0.098391,63.522312,46.507665
34,2.11641,0.097055,64.396451,45.868935
34,2.116985,0.093538,66.817479,44.190731
34,2.117212,0.09908,63.08031,46.799926
34,2.117297,0.092577,67.511298,43.725068
34,2.119434,0.105078,59.479844,49.603151
34,2.119589,0.085415,73.172473,40.299204
34,2.117379,0.084547,73.923412,39.909176
34,2.120134,0.085547,73.058986,40.376186
34,2.112266,0.090517,69.047789,42.773374
34,2.115092,0.082284,75.95674,38.929125
34,2.113832,0.101867,61.354683,48.176191
33.95,2.113084,0.091649,68.194593,43.364715
33.9,2.116048,0.091049,68.644636,43.05783
34.05,2.11142,0.089146,70.109324,42.174881
34,2.110043,0.089106,70.141311,42.215614
34,2.120575,0.090052,69.404182,42.571654
34,2.113905,0.088009,71.015489,41.567781
34.05,2.110235,0.091947,67.973986,43.534041
34,2.110486,0.091378,68.397429,43.299568
34.05,2.111946,0.091943,67.976993,43.549716
34.05,2.113657,0.094615,66.057129,44.781809
34.05,2.11113,0.094743,65.96762,44.851237
34.05,2.108777,0.093743,66.671469,44.429057
34,2.115688,0.09072,68.893523,42.949676
34,2.111134,0.094115,66.408464,44.53205
34,2.118418,0.08175,76.452278,38.656741
34,2.116049,0.072671,86.003881,34.323631
34.05,2.117343,0.100999,61.881993,47.715253
34,2.114327,0.102766,60.817507,48.570169
34.05,2.110113,0.090865,68.783569,43.018595
34.05,2.109912,0.092405,67.637364,43.793368
34.1,2.11001,0.09235,67.677497,43.768465
34.1,2.112345,0.094986,65.798901,44.992141
34.05,2.114628,0.09425,66.313159,44.594457
34.05,2.119201,0.087625,71.326925,41.392654
34.05,2.118753,0.094272,66.297242,44.489586
34.1,2.112531,0.09088,68.772093,42.956176
34.1,2.112346,0.093442,66.886336,44.234238
34.05,2.114881,0.095079,65.735132,44.983881
34.1,2.112983,0.09395,66.524475,44.443432
34.1,2.119222,0.10056,62.1517,47.52152
34.1,2.120957,0.089933,69.496346,42.419331
34.1,2.118689,0.091685,68.167989,43.251376
34,2.119631,0.091104,68.602621,42.990808
34.1,2.114203,0.083281,75.046845,39.340857
34.05,2.112353,0.118281,52.840389,55.970275
34,2.109912,0.093503,66.843066,44.290252
33.95,2.108987,0.090443,69.10465,42.874949
34.05,2.109299,0.092684,67.433314,43.943993
34.05,2.110199,0.093796,66.633621,44.458597
34,2.111005,0.09286,67.305444,43.997042
34,2.114218,0.090821,68.816345,42.990135
33.95,2.117133,0.092086,67.871694,43.525353
34.1,2.108668,0.090909,68.749845,43.025836
34,2.108066,0.092934,67.252162,44.078581
34,2.107937,0.091477,68.323202,43.395122
34,2.107696,0.091157,68.563005,43.247144
34,2.107695,0.090418,69.123707,42.898804
34.05,2.108506,0.090436,69.109632,42.899291
34.05,2.110152,0.089795,69.602818,42.570513
34,2.11091,0.090374,69.156761,42.820688
34,2.112203,0.091389,68.388974,43.280397
34,2.112959,0.095884,65.182926,45.387138
34,2.113563,0.097392,64.173438,46.08627
33.95,2.114679,0.092528,67.547233,43.766578
33.95,2.123536,0.091532,68.282196,43.193612
34.05,2.11012,0.090623,68.966749,42.810937
34,2.114261,0.094199,66.348586,44.59799
34,2.111702,0.094672,66.017559,44.804826
33.95,2.121471,0.092122,67.845088,43.523668
33.95,2.118659,0.095566,65.400133,45.076705
33.95,2.106537,0.091188,68.539738,43.163906
34,2.115325,0.104138,60.016368,49.332865
33.95,2.117597,0.09206,67.890559,43.497106
34,2.119605,0.10149,61.58264,47.904074
34,2.118751,0.090872,68.777726,42.880981
34,2.114548,0.086184,72.51936,40.71712
34,2.110891,0.089165,70.094939,42.203788
34,2.110716,0.087486,71.439805,41.446889
34,2.125259,0.08866,70.493888,41.86058
34,2.121551,0.070861,88.201362,33.371205
34.05,2.111539,0.090247,69.254639,42.638666
34,2.124165,0.089826,69.578775,42.413851
33.95,2.111173,0.086687,72.098413,40.935136
33.9,2.110675,0.09231,67.70661,43.729677
33.9,2.110488,0.092945,67.243885,44.037745
33.9,2.110401,0.093153,67.094244,44.13883
33.9,2.122847,0.090992,68.687154,42.989335
33.95,2.1192,0.091523,68.288482,43.150623
34,2.109794,0.090882,68.770348,42.980533
33.95,2.116189,0.089387,69.920994,42.303349
33.95,2.111606,0.072105,86.679318,34.109913
34,2.114393,0.090247,69.254707,42.710173
34,2.114166,0.102379,61.047692,48.422631
34,2.112024,0.092856,67.30819,43.943339
34,2.115383,0.093386,66.926241,44.181407
34,2.123339,0.086665,72.116775,40.892047
34,2.118455,0.092355,67.673447,43.54539
34,2.114386,0.085053,73.483225,40.187398
34,2.109774,0.087619,71.331787,41.48457
34.1,2.110144,0.095578,65.391659,45.298486