sample temp (C),resistivity (mOhm*cm)
27.45,2.073846
31.2,2.079509
35.65,2.088442
39.2,2.098281
42.45,2.108287
46.8,2.119611
52.05,2.133151
57.85,2.148708
64.25,2.165916
70.9,2.184927
77.8,2.204885
84.85,2.225634
92.1,2.246918
99.45,2.26958
106.8,2.29201
114,2.314974
121.4,2.338259
128.8,2.361691
136.2,2.38484
143.5,2.409059
150.7,2.43297
157.85,2.457178
164.9,2.480999
172.05,2.504975
178.95,2.528552
185.8,2.552521
192.6,2.576142
199.4,2.599709
206.05,2.623841
212.8,2.647464
219.4,2.671443
226,2.694673
232.55,2.718458
238.85,2.741814
245.2,2.765238
251.55,2.788664
257.85,2.812184
264.05,2.836203
270.35,2.859324
276.65,2.8825
282.85,2.906211
288.8,2.929743
294.8,2.953051
300.75,2.975103
306.65,2.998865
312.6,3.022333
318.4,3.044491
324.25,3.067691
329.85,3.091719
335.5,3.113848
341.2,3.136716
346.65,3.159004
352.05,3.181581
357.25,3.201787
362.5,3.223463
367.7,3.245436
372.9,3.268442
378.05,3.287489
382.95,3.306815
387.75,3.326468
392.45,3.345675
396.9,3.366374
401.35,3.38382
405.75,3.40358
410.15,3.421926
414.7,3.439676
419.15,3.460118
423.55,3.477584
427.85,3.496322
433.25,3.520852
441.3,3.554024
449.3,3.58777
456.2,3.617148
461.95,3.642328
466.85,3.664721
471.2,3.684586
475.2,3.703048
479,3.720699
482.6,3.734188
486.15,3.751338
490.2,3.774674
494.15,3.789523
497.15,3.802081
499.25,3.811087
500.5,3.815585
500.85,3.819115
501.4,3.822922
502.15,3.825648
502.45,3.826584
502.65,3.82651
502.9,3.828209
502.55,3.826308
501.25,3.818259
499.3,3.809125
496.7,3.799906
493.7,3.785623
490.45,3.77315
487,3.75611
483.35,3.740009
479.6,3.725817
475.65,3.70668
471.95,3.692596
468.2,3.673043
464.1,3.656906
459.75,3.638002
455.45,3.618337
451.1,3.593621
446.65,3.583798
442.05,3.563075
437.3,3.540739
432.55,3.524139
427.85,3.502958
423.25,3.482722
418.5,3.462617
413.65,3.443744
408.65,3.418814
403.4,3.402655
398.25,3.379738
393.05,3.358825
387.75,3.337311
382.15,3.315284
375.75,3.292436
369.95,3.265768
364.55,3.246862
358.85,3.223569
353.35,3.202912
347.7,3.181288
341.95,3.157932
336.2,3.137121
330.3,3.11493
324.1,3.090149
317.65,3.067978
311.35,3.043658
305,3.019969
298.75,2.996409
292.35,2.97264
285.95,2.949708
279.15,2.926302
270.75,2.902491
262.15,2.876999
255.15,2.853076
248.75,2.833023
242.55,2.80763
236.35,2.784288
229.95,2.760661
223.45,2.737172
216.8,2.714495
210.05,2.691162
203.35,2.667826
196.55,2.644622
189.65,2.620889
182.65,2.597837
175.7,2.574069
168.7,2.550057
161.6,2.526925
154.45,2.503078
147.1,2.480004
139.75,2.457074
132.35,2.431426
124.75,2.405013
117.25,2.381746
109.75,2.362493
102.2,2.337076
94.8,2.314767
87.75,2.292776
81.35,2.272172
75.55,2.253173
70.3,2.235836
65.6,2.219796
61.5,2.205667
57.85,2.193438
54.6,2.18253
51.7,2.172292
49.2,2.162498
46.9,2.154349
44.9,2.146278
43.05,2.140116
41.5,2.134308
40.15,2.128687
38.8,2.123867
37.6,2.119481
36.55,2.11546
35.6,2.112162
34.7,2.109078
34,2.10653