temperature (C),seebeck_chromel (uV/K)
50.68002,200.49659
80.59002,210.6951
110.46014,216.82972
140.30666,220.99988
170.51669,219.39698
200.6199,216.14159
230.501,212.77912
260.81207,209.06702
290.56866,202.59544
320.56681,191.81595
350.70225,177.05813
380.59659,161.407
410.50894,143.93013
440.61195,125.55636
470.61454,106.52379
500.50811,89.10436
470.62479,116.7605
440.55888,135.59133
410.4775,153.19458
380.68174,168.78439
350.67892,184.1037
320.56359,198.87334
290.60038,210.96351
260.58246,217.61482
230.42888,221.07265
200.38134,221.68426
170.37448,220.94905
140.27954,216.21119
110.31831,209.50231
80.40059,203.9532
49.8739,198.96054